,Date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Tour,stage,Arrival,Departure,Distance,ProfileScore,Race ranking,Startlist quality score,Vert. meters
0,05-29,0.3472392638036922,0.13999999999997492,0.4366197183098366,0.3230088495575244,0.4750390015600625,0.5589743589743535,0.4773722627741001,giro,GC,Verona,Verona,0 km,,12,816,
1,05-06,0.0858895705521476,0.1388888888888889,0.3908450704225353,0.02581120943952798,0.20865834633385338,0.653846153846154,0.5839416058394141,giro,Stage 1 | Budapest - Visegrád,Visegrád,Budapest,195 km,51.0,12,816,1390.0
2,05-17,0.44785276073619623,0.5166666666666667,0.5000000000000001,0.0,0.46801872074883,0.43589743589743585,0.3649635036496338,giro,Stage 10 | Pescara - Jesi,Jesi,Pescara,196 km,86.0,12,816,1764.0
3,05-18,0.5950920245398775,0.6166666666666667,0.5704225352112677,0.0,0.31591263650546025,0.5512820512820513,0.5948905109489014,giro,Stage 11 | Santarcangelo di Romagna - Reggio Emilia,Reggio Emilia,Santarcangelo di Romagna,203 km,0.0,12,816,369.0
4,05-19,0.6871165644171782,0.8777777777777777,0.7077464788732395,0.0,0.21645865834633388,0.4743589743589744,0.9051094890510986,giro,Stage 12 | Parma - Genova,Genova,Parma,204 km,112.0,12,816,2867.0
5,05-20,0.6073619631901841,0.9222222222222223,0.4788732394366198,0.0,0.0,0.8076923076923077,1.0,giro,Stage 13 | Sanremo - Cuneo,Cuneo,Sanremo,150 km,51.0,12,816,1817.0
6,05-21,1.0,0.7888888888888891,1.0,0.0,0.7098283931357255,0.0,0.4014598540145972,giro,Stage 14 | Santena - Torino,Torino,Santena,147 km,247.0,12,816,3167.0
7,05-22,1.0,1.0,0.795774647887324,0.0,0.171606864274571,0.2051282051282052,0.0,giro,Stage 15 | Rivarolo Canavese - Cogne,Cogne,Rivarolo Canavese,177 km,301.0,12,816,4019.0
8,05-24,0.44116180981595127,0.5562847222222204,0.527541813380281,0.07463357300884957,0.5371611739469578,0.5819911858974361,0.4330520072992819,giro,Stage 16 | Salò - Aprica,Aprica,Salò,202 km,376.0,12,816,5268.0
9,05-25,0.1533742331288409,0.2711111111111073,0.3732394366197304,0.06047197640118,0.45397815912636513,0.7846153846153885,0.6773722627736188,giro,Stage 17 | Ponte di Legno - Lavarone,Lavarone,Ponte di Legno,168 km,347.0,12,816,3950.0
10,05-26,0.29079754601227575,0.3933333333333342,0.3985915492957699,0.333333333333333,0.5163806552262091,0.8307692307692246,0.5445255474454554,giro,Stage 18 | Borgo Valsugana - Treviso,Treviso,Borgo Valsugana,152 km,34.0,12,816,1219.0
11,05-27,0.43312883435582233,0.5022222222222114,0.546478873239443,0.008849557522123828,0.7090483619344775,0.46923076923076845,0.48905109489013093,giro,Stage 19 | Marano Lagunare - Santuario di Castelmonte,Santuario di Castelmonte,Marano Lagunare,178 km,262.0,12,816,3489.0
12,05-07,0.21472392638036814,0.43333333333333335,0.33802816901408456,0.0,0.140405616224649,0.4230769230769231,0.5766423357664198,giro,Stage 2 (ITT) | Budapest - Budapest,Budapest,Budapest,9.2 km,8.0,12,816,81.0
13,05-28,0.1950920245398808,0.15777777777777657,0.49718309859155074,0.0,0.3681747269890796,0.6512820512820525,0.48905109489055415,giro,Stage 20 | Belluno - Marmolada (Passo Fedaia),Marmolada (Passo Fedaia),Belluno,168 km,392.0,12,816,4718.0
14,05-29,0.3472392638036922,0.13999999999997492,0.4366197183098366,0.3230088495575244,0.4750390015600625,0.5589743589743535,0.4773722627741001,giro,Stage 21 (ITT) | Verona - Verona,Verona,Verona,17.4 km,30.0,12,816,317.0
15,05-08,0.012269938650306926,0.16666666666666666,0.21126760563380284,0.0,0.08190327613104526,0.532051282051282,0.6094890510948902,giro,Stage 3 | Kaposvár - Balatonfüred,Balatonfüred,Kaposvár,201 km,7.0,12,816,1150.0
16,05-10,0.0,0.3333333333333333,0.11267605633802827,0.0,0.811232449297972,0.5192307692307693,0.5401459854014564,giro,Stage 4 | Avola - Etna,Etna,Avola,172 km,251.0,12,816,3626.0
17,05-11,0.15950920245398784,0.23888888888888893,0.32746478873239454,0.0,0.3178627145085804,0.5705128205128206,0.5912408759124085,giro,Stage 5 | Catania - Messina,Messina,Catania,174 km,31.0,12,816,1968.0
18,05-12,0.3006134969325153,0.5333333333333334,0.4014084507042253,0.0,0.10530421216848675,0.8461538461538463,0.708029197080293,giro,Stage 6 | Palmi - Scalea,Scalea,Palmi,192 km,49.0,12,816,1498.0
19,05-13,0.44116180981595127,0.5562847222222204,0.527541813380281,0.07463357300884957,0.5371611739469578,0.5819911858974361,0.4330520072992819,giro,Stage 7 | Diamante - Potenza,Potenza,Diamante,196 km,246.0,12,816,4730.0
20,05-14,0.09202453987730062,0.6444444444444445,0.0,0.0,0.5655226209048363,0.6410256410256412,0.5182481751824817,giro,Stage 8 | Napoli - Napoli,Napoli,Napoli,153 km,123.0,12,816,2243.0
21,05-15,0.33742331288343563,0.0,0.5563380281690142,0.0,0.26911076443057724,0.6025641025641026,0.4817518248175183,giro,Stage 9 | Isernia - Blockhaus,Blockhaus,Isernia,191 km,458.0,12,816,5080.0
22,07-24,0.8306748466257556,0.9088888888888742,0.7901408450704355,0.07522123893805295,0.7776911076443058,0.48974358974359494,0.023357664233547022,tdf,GC,Paris (Champs-Élysées),Paris La Défense,0 km,,1,1506,
23,07-01,0.4895705521472217,0.7200000000000123,0.5281690140845071,0.10471976401179948,0.8923556942277693,0.6589743589743527,0.16204379562084603,tdf,Stage 1 (ITT) | Copenhagen - Copenhagen,Copenhagen,Copenhagen,13 km,0.0,1,1506,20.0
24,07-12,0.425766871165628,0.5822222222222236,0.5323943661971788,0.014749262536873134,0.5538221528861155,0.7307692307692308,0.3094890510954295,tdf,Stage 10 | Morzine - Megève,Megève,Morzine,148 km,152.0,1,1506,2775.0
25,07-13,0.46503067484659916,0.6555555555555554,0.5225352112675951,0.08259587020648933,0.2620904836193448,0.6794871794871913,0.456934306569706,tdf,Stage 11 | Albertville - Col de Granon,Col de Granon,Albertville,149 km,417.0,1,1506,4036.0
26,07-14,0.3766871165644373,0.6088888888888988,0.49014084507043915,0.6371681415929178,0.7191887675507022,0.9871794871794872,0.43503649635071473,tdf,Stage 12 | Briançon - L'Alpe d'Huez,L'Alpe d'Huez,Briançon,166 km,379.0,1,1506,4661.0
27,07-15,0.5067484662576761,0.5955555555555606,0.5507042253521012,0.03392330383480829,0.7262090483619345,0.7307692307692308,0.44671532846709405,tdf,Stage 13 | Bourg d'Oisans - Saint-Etienne,Saint-Etienne,Bourg d'Oisans,193 km,75.0,1,1506,2114.0
28,07-16,0.521472392638022,0.7177777777777763,0.5760563380281652,0.0,0.717628705148206,0.6435897435897457,0.5328467153282878,tdf,Stage 14 | Saint-Etienne - Mende,Mende,Saint-Etienne,195 km,171.0,1,1506,3499.0
29,07-17,0.602453987730072,0.6622222222222196,0.7183098591549293,0.0,0.33151326053042124,0.45128205128204796,0.5401459854016057,tdf,Stage 15 | Rodez - Carcassonne,Carcassonne,Rodez,200 km,67.0,1,1506,2416.0
30,07-19,0.9312883435582641,0.928888888888896,0.8788732394366301,0.007374631268436567,0.34399375975039004,0.7102564102564073,0.20437956204366714,tdf,Stage 16 | Carcassonne - Foix,Foix,Carcassonne,179 km,213.0,1,1506,3422.0
31,07-20,0.6294478527607313,0.855555555555563,0.6943661971831061,0.014749262536873134,0.529641185647426,1.0,0.20145985401492084,tdf,Stage 17 | Saint-Gaudens - Peyragudes,Peyragudes,Saint-Gaudens,130 km,339.0,1,1506,3368.0
32,07-21,0.6319018404907831,0.6577777777777736,0.6464788732394364,0.09734513274336287,0.6294851794071764,0.5794871794871845,0.4204379562043194,tdf,Stage 18 | Lourdes - Hautacam,Hautacam,Lourdes,143 km,411.0,1,1506,4056.0
33,07-22,0.6760736196319048,0.6888888888888884,0.6901408450704111,0.0,0.4765990639625585,0.5410256410256332,0.45839416058372234,tdf,Stage 19 | Castelnau-Magnoac - Cahors,Cahors,Castelnau-Magnoac,189 km,36.0,1,1506,1326.0
34,07-02,0.4993865030674826,0.6066666666666696,0.5591549295774579,0.13126843657817067,0.6107644305772231,0.5820512820512836,0.3605839416058837,tdf,Stage 2 | Roskilde - Nyborg,Nyborg,Roskilde,199 km,11.0,1,1506,1102.0
35,07-23,0.8650306748466409,0.7777777777777778,0.8239436619718192,0.0442477876106194,0.2730109204368175,0.48717948717948717,0.27883211678855624,tdf,Stage 20 (ITT) | Lacapelle-Marival - Rocamadour,Rocamadour,Lacapelle-Marival,40 km,38.0,1,1506,442.0
36,07-24,0.8306748466257556,0.9088888888888742,0.7901408450704355,0.07522123893805295,0.7776911076443058,0.48974358974359494,0.023357664233547022,tdf,Stage 21 | Paris La Défense - Paris (Champs-Élysées),Paris (Champs-Élysées),Paris La Défense,112 km,12.0,1,1506,614.0
37,07-03,0.5239263803680856,0.6400000000000018,0.5563380281690045,0.014749262536873134,0.7433697347893916,0.6076923076923133,0.46861313868598575,tdf,Stage 3 | Vejle - Sønderborg,Sønderborg,Vejle,182 km,15.0,1,1506,1285.0
38,07-05,0.7055214723926491,0.7799999999999956,0.7084507042253488,0.04867256637168143,0.35725429017160687,0.5846153846153903,0.1897810218974295,tdf,Stage 4 | Dunkerque - Calais,Calais,Dunkerque,172 km,65.0,1,1506,1796.0
39,07-06,0.7128834355828307,0.7399999999999937,0.752112676056338,0.007374631268436567,0.4399375975039002,0.7307692307692311,0.1970802919708056,tdf,Stage 5 | Lille - Wallers-Arenberg,Wallers-Arenberg,Lille,155 km,1.0,1,1506,537.0
40,07-07,0.7177914110429521,0.7555555555555552,0.7507042253520995,0.029498525073746267,0.6263650546021842,0.471794871794873,0.3985401459849049,tdf,Stage 6 | Binche - Longwy,Longwy,Binche,220 km,81.0,1,1506,2483.0
41,07-08,0.6662576687116687,0.6911111111111146,0.667605633802814,0.0,0.6739469578783153,0.6717948717948692,0.5255474452554844,tdf,Stage 7 | Tomblaine - La Super Planche des Belles Filles,La Super Planche des Belles Filles,Tomblaine,176 km,191.0,1,1506,2532.0
42,07-09,0.6539877300613448,0.6599999999999879,0.6704225352112708,0.0,0.3463338533541342,0.7153846153846105,0.4583941605845356,tdf,Stage 8 | Dole - Lausanne,Lausanne,Dole,184 km,88.0,1,1506,2529.0
43,07-10,0.36196319018404904,0.6866666666666634,0.5619718309859163,1.0,0.6021840873634946,0.579487179487175,0.32262773722651394,tdf,Stage 9 | Aigle - Châtel les portes du Soleil,Châtel les portes du Soleil,Aigle,183 km,223.0,1,1506,3695.0
44,09-11,0.27852760736196364,0.42444444444443263,0.4070422535211334,0.026548672566371712,1.0,0.5897435897435996,0.35182481751831707,vuelta,GC,Madrid,Las Rozas,0 km,,28,584,
45,08-19,0.3374233128834448,0.5355555555555505,0.40985915492957553,0.09292035398230082,0.8931357254290172,0.47948717948717895,0.3547445255473455,vuelta,Stage 1 (TTT) | Utrecht - Utrecht,Utrecht,Utrecht,23.2 km,0.0,28,584,37.0
46,08-30,0.2319018404907972,0.4711111111111184,0.4507042253521121,0.12389380530973439,0.6755070202808112,0.6512820512820527,0.3693430656937657,vuelta,Stage 10 (ITT) | Elche - Alicante,Alicante,Elche,31.1 km,2.0,28,584,177.0
47,08-31,0.23680981595091852,0.4622222222222205,0.4169014084507124,0.042772861356932076,0.6053042121684867,0.7179487179487181,0.5328467153284621,vuelta,Stage 11 | ElPozo Alimentación - Cabo de Gata,Cabo de Gata,ElPozo Alimentación,193 km,40.0,28,584,1601.0
48,09-01,0.09202453987729801,0.3355555555555466,0.3521126760563413,0.0,0.45553822152886125,0.623076923076925,0.6686131386860272,vuelta,Stage 12 | Salobreña - Peñas Blancas. Estepona,Peñas Blancas. Estepona,Salobreña,195.5 km,274.0,28,584,3262.0
49,09-02,0.1141104294478558,0.1888888888888888,0.36901408450703743,0.19469026548672566,0.49687987519500787,0.5000000000000016,0.7138686131384909,vuelta,Stage 13 | Ronda - Montilla,Montilla,Ronda,171 km,50.0,28,584,1703.0
50,09-03,0.32760736196320656,0.35777777777777786,0.507042253521122,0.00442477876106194,0.5046801872074884,0.3615384615384619,0.5313868613138067,vuelta,Stage 14 | Montoro - Sierra de La Pandera,Sierra de La Pandera,Montoro,160.3 km,285.0,28,584,3337.0
51,09-04,0.455214723926381,0.6866666666666714,0.5295774647887349,0.0,0.5421216848673948,0.45897435897436045,0.3839416058394473,vuelta,Stage 15 | Martos - Sierra Nevada,Sierra Nevada,Martos,148.1 km,429.0,28,584,4052.0
52,09-06,0.17791411042943647,0.41777777777777597,0.3436619718309891,0.0,0.93603744149766,0.5435897435897467,0.6423357664230037,vuelta,Stage 16 | Sanlúcar de Barrameda - Tomares,Tomares,Sanlúcar de Barrameda,188.9 km,19.0,28,584,1002.0
53,09-07,0.16809815950921,0.4022222222222229,0.31690140845070425,0.008849557522123864,0.9344773790951639,0.5564102564102611,0.5810218978101285,vuelta,Stage 17 | Aracena - Monasterio de Tentudía,Monasterio de Tentudía,Aracena,160 km,160.0,28,584,2737.0
54,09-08,0.21472392638036333,0.37999999999999784,0.39999999999999775,0.00442477876106194,0.9149765990639628,0.5410256410256353,0.3970802919710462,vuelta,Stage 18 | Trujillo - Alto del Piornal,Alto del Piornal,Trujillo,191.7 km,206.0,28,584,3625.0
55,09-09,0.27361963190183797,0.4733333333333355,0.42535211267605555,0.2787610619469029,0.8291731669266771,0.4564102564102523,0.1343065693429763,vuelta,Stage 19 | Talavera de la Reina - Talavera de la Reina,Talavera de la Reina,Talavera de la Reina,132.7 km,108.0,28,584,2278.0
56,08-20,0.47975460122699704,0.6600000000000009,0.5492957746478931,0.007374631268436567,0.8923556942277693,0.25384615384615605,0.4496350364965706,vuelta,Stage 2 | 's-Hertogenbosch - Utrecht,Utrecht,'s-Hertogenbosch,175.1 km,9.0,28,584,498.0
57,09-10,0.22944785276073767,0.45555555555555316,0.3859154929577445,0.10766961651917398,0.5475819032761311,0.5230769230769232,0.26715328467144667,vuelta,Stage 20 | Moralzarzal - Puerto de Navacerrada,Puerto de Navacerrada,Moralzarzal,175.5 km,226.0,28,584,3983.0
58,09-11,0.27852760736196364,0.42444444444443263,0.4070422535211334,0.026548672566371712,1.0,0.5897435897435996,0.35182481751831707,vuelta,Stage 21 | Las Rozas - Madrid,Madrid,Las Rozas,100.5 km,11.0,28,584,871.0
59,08-21,0.5779141104294481,0.7133333333333343,0.5647887323943609,0.04129793510324479,0.4758190327613105,0.4230769230769251,0.4919708029197071,vuelta,Stage 3 | Breda - Breda,Breda,Breda,193.2 km,0.0,28,584,237.0
60,08-23,0.46503067484662053,0.6488888888888908,0.5281690140845128,0.002949852507374619,0.5756630265210608,0.7153846153846128,0.515328467153196,vuelta,Stage 4 | Vitoria-Gasteiz - Laguardia,Laguardia,Vitoria-Gasteiz,153.5 km,127.0,28,584,2306.0
61,08-24,0.36932515337423555,0.5266666666666655,0.5014084507042272,0.0442477876106194,0.5752730109204369,0.5384615384615405,0.49197080291979006,vuelta,Stage 5 | Irún - Bilbao,Bilbao,Irún,187 km,168.0,28,584,2985.0
62,08-25,0.46257668711656447,0.5600000000000003,0.5591549295774649,0.01327433628318582,0.41653666146645874,0.8205128205128205,0.27153284671535444,vuelta,Stage 6 | Bilbao - Ascensión al Pico Jano. San Miguel de Aguayo,Ascensión al Pico Jano. San Miguel de Aguayo,Bilbao,180 km,292.0,28,584,4076.0
63,08-26,0.501840490797547,0.5244444444444439,0.5830985915492994,0.19174041297935074,0.4399375975039002,0.5948717948717988,0.3021897810217796,vuelta,Stage 7 | Camargo - Cistierna,Cistierna,Camargo,190.1 km,108.0,28,584,3178.0
64,08-27,0.543558282208589,0.7044444444444444,0.6098591549295778,0.007374631268436567,0.4851794071762871,0.5717948717948715,0.25985401459852703,vuelta,Stage 8 | La Pola Llaviana/Pola de Laviana - Colláu Fancuaya,Colláu Fancuaya,La Pola Llaviana/Pola de Laviana,154.5 km,315.0,28,584,3743.0
65,08-28,0.48711656441717915,0.6044444444444426,0.6070422535211301,0.06342182890855452,0.39157566302652114,0.49743589743589745,0.20729927007282006,vuelta,Stage 9 | Villaviciosa - Les Praeres. Nava,Les Praeres. Nava,Villaviciosa,175.5 km,236.0,28,584,3698.0
